X,Y,Z
0.0007,-0.0021,-0.000157491
0.0007,-0.00164,-0.000157491
0,-0.001366876,-0.000109067
-0.000464525,-0.001121462,0
-0.000749823,-0.000749823,-7.63631E-06
-0.000895548,-0.000370948,0.000149324
-0.000920379,0,0.000201801
-0.000820946,0.000340047,0.000306905
-0.000578547,0.000578547,0.000358513
-0.000305979,0.0007387,0.000410351
0,0.000773421,0.000424067
0.000329838,0.000796299,0.000561296
0.000590876,0.000590876,0.000616423
0.000751416,0.000311247,0.000674293
0.000790037,0,0.000786757
0.000691191,-0.000286301,0.000933592
0.000522327,-0.000522327,0.001010431
0.000282768,-0.000682663,0.001150534
0,-0.000680464,0.001129172
-0.000260748,-0.000629502,0.00122648
0,0,0
0,0,0.002212023
0,0,-0.000581675
